domain,final_url,status,technologies_found,technology_name,category,confidence,evidence_count,evidence_types,first_evidence,errors
100wwcstlw.org,https://100wwcstlw.org/,200,1,Cloudflare,CDN / Security,high,4,"cookie, header",cookie: __cf_bm,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Google Tag Manager,Tag Manager,high,1,html_contains,html_contains: gtm-,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Google Analytics,Analytics,high,1,script_url,script_url: googletagmanager.com/gtag/js,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Meta Pixel,Marketing,high,1,html_contains,html_contains: fbq(,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Cloudflare,CDN / Security,high,4,"cookie, header",cookie: __cf_bm,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Bootstrap,CSS Framework,medium,1,dom_marker,"dom_marker: class=""container",
11853prospecthill.com,https://11853prospecthill.com/,200,7,jQuery,JavaScript Library,high,1,script_url,script_url: jquery.min.js,
11853prospecthill.com,https://11853prospecthill.com/,200,7,Magento,Ecommerce,high,1,html_contains,html_contains: mage-,
11thhourracing.org,https://11thhourracing.org/,200,8,WordPress,CMS,high,14,"script_url, stylesheet_url",script_url: wp-includes,
11thhourracing.org,https://11thhourracing.org/,200,8,Google Tag Manager,Tag Manager,high,1,html_contains,html_contains: gtm-,
11thhourracing.org,https://11thhourracing.org/,200,8,Mailchimp,Email Marketing,medium,2,html_contains,html_contains: list-manage.com,
11thhourracing.org,https://11thhourracing.org/,200,8,Cloudflare,CDN / Security,high,4,"cookie, header",cookie: __cf_bm,
11thhourracing.org,https://11thhourracing.org/,200,8,Bootstrap,CSS Framework,medium,5,dom_marker,"dom_marker: class=""container",
11thhourracing.org,https://11thhourracing.org/,200,8,jQuery,JavaScript Library,high,2,script_url,script_url: jquery.min.js,
11thhourracing.org,https://11thhourracing.org/,200,8,Magento,Ecommerce,high,1,html_contains,html_contains: mage-,
11thhourracing.org,https://11thhourracing.org/,200,8,Webpack,Build Tool,medium,1,html_contains,html_contains: webpackChunk,
1planettechnologies.weebly.com,https://1planettechnologies.weebly.com/,200,5,Weebly,CMS,high,16,"domain, script_url, stylesheet_url",domain: weebly.com,
1planettechnologies.weebly.com,https://1planettechnologies.weebly.com/,200,5,Cloudflare,CDN / Security,high,4,"cookie, header",cookie: __cf_bm,
1planettechnologies.weebly.com,https://1planettechnologies.weebly.com/,200,5,Bootstrap,CSS Framework,medium,3,dom_marker,"dom_marker: class=""container",
1planettechnologies.weebly.com,https://1planettechnologies.weebly.com/,200,5,jQuery,JavaScript Library,high,1,script_url,script_url: jquery.min.js,
1planettechnologies.weebly.com,https://1planettechnologies.weebly.com/,200,5,Magento,Ecommerce,high,1,html_contains,html_contains: mage-,
1stclairavewest.com,http://1stclairavewest.com/,409,1,Cloudflare,CDN / Security,high,2,header,header: cloudflare,
